disease_id,disease_name,cell_id,cell_name,tissue_id,tissue_name,drug_id,drug_name,ms_id,ms_name,pub_id,pmid,detail
36,neuroblastoma,305,TGW,30,"autonomic ganglia",2,cisplatin,6,Mfd47,12,12107547,"The cytotoxicity of these agents varied between clones of resistant variants. The microsatellite profiles of the TR1 clones differed, indicating that the TR1 variant comprised a heterogeneous cell population."
36,neuroblastoma,305,TGW,30,"autonomic ganglia",2,cisplatin,37,Mfd26,12,12107547,"The cytotoxicity of these agents varied between clones of resistant variants. The microsatellite profiles of the TR1 clones differed, indicating that the TR1 variant comprised a heterogeneous cell population."
41,osteosarcoma,95,U2OS,20,bone,2,cisplatin,4,D17S250,17,10051537,"A decrease in PMS2 expression was associated with microsatellite instability at the D17S250locus, thereby reflecting an alteration of the DNA mismatch repair functionality"
41,osteosarcoma,95,U2OS,20,bone,2,cisplatin,4,D17S250,20,10626355,"Western blot analysis of DNA mismatch repair proteins revealed a marked decrease of expression of PMS2 in U2-OS/Pt cells, which also exhibited microsatellite instability."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,14,D17S261,3,8640828,"Microsatellite instability, apoptosis, and loss of p53 function in drug-resistant tumor cells."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,16,D17S801,3,8640828,"Microsatellite instability, apoptosis, and loss of p53 function in drug-resistant tumor cells."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,21,D2S121,3,8640828,"Microsatellite instability, apoptosis, and loss of p53 function in drug-resistant tumor cells."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,33,CHRNB-1,3,8640828,"Microsatellite instability, apoptosis, and loss of p53 function in drug-resistant tumor cells."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,35,D17S183,3,8640828,"Microsatellite instability, apoptosis, and loss of p53 function in drug-resistant tumor cells."
45,"colorectal cancer",4,HCT116,23,"digestive system",9,Fluorouracil,1,BAT-25,6,21816436,"Genes associated with chemoresistance and drug metabolism also had increased expression in MSI cells."
45,"colorectal cancer",4,HCT116,23,"digestive system",9,Fluorouracil,2,BAT-26,6,21816436,"Genes associated with chemoresistance and drug metabolism also had increased expression in MSI cells."
18,"colon cancer",945,"clinical samples",23,"digestive system",9,Fluorouracil,4,D17S250,8,23539382,"Deficient MMR and corresponding tumor MSI-H status has proven to be an important biomarker for prognosis and chemotherapy efficacy in CRC."
18,"colon cancer",945,"clinical samples",23,"digestive system",34,irinotecan,4,D17S250,8,23539382,"Deficient MMR and corresponding tumor MSI-H status has proven to be an important biomarker for prognosis and chemotherapy efficacy in CRC."
18,"colon cancer",945,"clinical samples",23,"digestive system",9,Fluorouracil,5,D2S123,8,23539382,"Deficient MMR and corresponding tumor MSI-H status has proven to be an important biomarker for prognosis and chemotherapy efficacy in CRC."
18,"colon cancer",945,"clinical samples",23,"digestive system",34,irinotecan,5,D2S123,8,23539382,"Deficient MMR and corresponding tumor MSI-H status has proven to be an important biomarker for prognosis and chemotherapy efficacy in CRC."
18,"colon cancer",945,"clinical samples",23,"digestive system",9,Fluorouracil,7,D5S346,8,23539382,"Deficient MMR and corresponding tumor MSI-H status has proven to be an important biomarker for prognosis and chemotherapy efficacy in CRC."
18,"colon cancer",945,"clinical samples",23,"digestive system",34,irinotecan,7,D5S346,8,23539382,"Deficient MMR and corresponding tumor MSI-H status has proven to be an important biomarker for prognosis and chemotherapy efficacy in CRC."
45,"colorectal cancer",4,HCT116,23,"digestive system",2,cisplatin,8,D17S855,10,12107548,"Microsatellite instability (MIN), which reflects genetic defects in the DNA MMR system, was detected only in the HCT116 parental cell line and its drug-selected counterparts, due to a known mutation in the hMLH1 gene."
45,"colorectal cancer",4,HCT116,23,"digestive system",14,oxaliplatin,8,D17S855,10,12107548,"Microsatellite instability (MIN), which reflects genetic defects in the DNA MMR system, was detected only in the HCT116 parental cell line and its drug-selected counterparts, due to a known mutation in the hMLH1 gene."
45,"colorectal cancer",4,HCT116,23,"digestive system",2,cisplatin,22,D8S256,10,12107548,"Microsatellite instability (MIN), which reflects genetic defects in the DNA MMR system, was detected only in the HCT116 parental cell line and its drug-selected counterparts, due to a known mutation in the hMLH1 gene."
45,"colorectal cancer",4,HCT116,23,"digestive system",14,oxaliplatin,22,D8S256,10,12107548,"Microsatellite instability (MIN), which reflects genetic defects in the DNA MMR system, was detected only in the HCT116 parental cell line and its drug-selected counterparts, due to a known mutation in the hMLH1 gene."
45,"colorectal cancer",4,HCT116,23,"digestive system",2,cisplatin,26,D10S197,10,12107548,"Microsatellite instability (MIN), which reflects genetic defects in the DNA MMR system, was detected only in the HCT116 parental cell line and its drug-selected counterparts, due to a known mutation in the hMLH1 gene."
45,"colorectal cancer",4,HCT116,23,"digestive system",14,oxaliplatin,26,D10S197,10,12107548,"Microsatellite instability (MIN), which reflects genetic defects in the DNA MMR system, was detected only in the HCT116 parental cell line and its drug-selected counterparts, due to a known mutation in the hMLH1 gene."
45,"colorectal cancer",4,HCT116,23,"digestive system",2,cisplatin,28,TP53,10,12107548,"Microsatellite instability (MIN), which reflects genetic defects in the DNA MMR system, was detected only in the HCT116 parental cell line and its drug-selected counterparts, due to a known mutation in the hMLH1 gene."
45,"colorectal cancer",4,HCT116,23,"digestive system",14,oxaliplatin,28,TP53,10,12107548,"Microsatellite instability (MIN), which reflects genetic defects in the DNA MMR system, was detected only in the HCT116 parental cell line and its drug-selected counterparts, due to a known mutation in the hMLH1 gene."
45,"colorectal cancer",4,HCT116,23,"digestive system",9,Fluorouracil,39,MONO27,6,21816436,"Genes associated with chemoresistance and drug metabolism also had increased expression in MSI cells."
45,"colorectal cancer",4,HCT116,23,"digestive system",9,Fluorouracil,40,NR21,6,21816436,"Genes associated with chemoresistance and drug metabolism also had increased expression in MSI cells."
45,"colorectal cancer",4,HCT116,23,"digestive system",9,Fluorouracil,41,NR24,6,21816436,"Genes associated with chemoresistance and drug metabolism also had increased expression in MSI cells."
45,"colorectal cancer",4,HCT116,23,"digestive system",4,methotrexate,42,RFC,15,16007155,"Since all the cell lines displaying MSI developedresistance, it can be hypothesized that this type of instability is a dominant characteristic over the amplification mechanism."
45,"colorectal cancer",5,LoVo,23,"digestive system",4,methotrexate,42,RFC,15,16007155,"Since all the cell lines displaying MSI developedresistance, it can be hypothesized that this type of instability is a dominant characteristic over the amplification mechanism."
