disease_id,disease_name,cell_id,cell_name,tissue_id,tissue_name,drug_id,drug_name,mir_id,mir_name,pub_id,pmid,detail
19,"esophageal cancer",62,KYSE410,16,"aero digestive tract",2,cisplatin,35,miR-148a,230,21246413,"MiR-148a sensitized chemotherapy-sensitive oesophageal cancer cell lines to cisplatin and, to a lesser extent, to 5-flurouracil and attenuated resistance in chemotherapy-resistant variants."
19,"esophageal cancer",62,KYSE410,16,"aero digestive tract",9,Fluorouracil,35,miR-148a,230,21246413,"MiR-148a sensitized chemotherapy-sensitive oesophageal cancer cell lines to cisplatin and, to a lesser extent, to 5-flurouracil and attenuated resistance in chemotherapy-resistant variants."
1,"head and neck squamous cell cancer",56,HSC3,16,"aero digestive tract",2,cisplatin,98,miR-302,146,22847005,"Hyaluronan-CD44v3 interaction with Oct4-Sox2-Nanog promotes miR-302 expression leading to self-renewal, clonal formation, and cisplatin resistance in cancer stem cells from head and neck squamous cell carcinoma."
65,"Hypopharynx cancer",25,T98G,16,"aero digestive tract",6,paclitaxel,50,miR-210,119,24294361,"The dramatically expression-alteredmiRs were miR-112, miR-7, miR-1304, miR-222*, miR-29b-1* (these fivemiRs were upregulated) and miR-210 (downregulated)."
65,"Hypopharynx cancer",25,T98G,16,"aero digestive tract",6,paclitaxel,212,miR-112,119,24294361,"The dramatically expression-alteredmiRs were miR-112, miR-7, miR-1304, miR-222*, miR-29b-1* (these fivemiRs were upregulated) and miR-210 (downregulated)."
65,"Hypopharynx cancer",25,T98G,16,"aero digestive tract",6,paclitaxel,174,miR-7,119,24294361,"The dramatically expression-alteredmiRs were miR-112, miR-7, miR-1304, miR-222*, miR-29b-1* (these fivemiRs were upregulated) and miR-210 (downregulated)."
65,"Hypopharynx cancer",25,T98G,16,"aero digestive tract",6,paclitaxel,157,miR-1304,119,24294361,"The dramatically expression-alteredmiRs were miR-112, miR-7, miR-1304, miR-222*, miR-29b-1* (these fivemiRs were upregulated) and miR-210 (downregulated)."
65,"Hypopharynx cancer",25,T98G,16,"aero digestive tract",6,paclitaxel,57,miR-222,119,24294361,"The dramatically expression-alteredmiRs were miR-112, miR-7, miR-1304, miR-222*, miR-29b-1* (these fivemiRs were upregulated) and miR-210 (downregulated)."
65,"Hypopharynx cancer",25,T98G,16,"aero digestive tract",6,paclitaxel,30,miR-29b-1,119,24294361,"The dramatically expression-alteredmiRs were miR-112, miR-7, miR-1304, miR-222*, miR-29b-1* (these fivemiRs were upregulated) and miR-210 (downregulated)."
24,"laryngeal cancer",125,Hep2,16,"aero digestive tract",6,paclitaxel,21,miR-31,89,23826416,"After paclitaxel treatment, expression of 49 miRs was significantly altered. Within these miRs, the most markedly expression-changed were miR-31-star,miR-1264, miR-3150b-5p and miR-210."
24,"laryngeal cancer",125,Hep2,16,"aero digestive tract",6,paclitaxel,147,miR-1264,89,23826416,"After paclitaxel treatment, expression of 49 miRs was significantly altered. Within these miRs, the most markedly expression-changed were miR-31-star,miR-1264, miR-3150b-5p and miR-210."
24,"laryngeal cancer",125,Hep2,16,"aero digestive tract",6,paclitaxel,206,miR-3150b-5p,89,23826416,"After paclitaxel treatment, expression of 49 miRs was significantly altered. Within these miRs, the most markedly expression-changed were miR-31-star,miR-1264, miR-3150b-5p and miR-210."
24,"laryngeal cancer",125,Hep2,16,"aero digestive tract",6,paclitaxel,50,miR-210,89,23826416,"After paclitaxel treatment, expression of 49 miRs was significantly altered. Within these miRs, the most markedly expression-changed were miR-31-star,miR-1264, miR-3150b-5p and miR-210."
36,neuroblastoma,134,Kelly,30,"autonomic ganglia",2,cisplatin,48,miR-204,148,22892391,"Ectopic miR-204 expression significantly increasedsensitivity to cisplatin and etoposide in vitro."
36,neuroblastoma,134,Kelly,30,"autonomic ganglia",10,etoposide,48,miR-204,148,22892391,"Ectopic miR-204 expression significantly increasedsensitivity to cisplatin and etoposide in vitro."
36,neuroblastoma,153,SHSY5Y,30,"autonomic ganglia",2,cisplatin,11,miR-21,144,23084187,"Ectopic expression of pre-miR-21 in parental cells resulted in decreasedsensitivity to cisplatin treatment."
36,neuroblastoma,153,SHSY5Y,30,"autonomic ganglia",2,cisplatin,48,miR-204,148,22892391,"Ectopic miR-204 expression significantly increasedsensitivity to cisplatin and etoposide in vitro."
36,neuroblastoma,153,SHSY5Y,30,"autonomic ganglia",10,etoposide,48,miR-204,148,22892391,"Ectopic miR-204 expression significantly increasedsensitivity to cisplatin and etoposide in vitro."
18,"colon cancer",247,LS174,30,"autonomic ganglia",1,doxorubicin,72,miR-137,10,23934188,"miR-137 as a highly promising target to reduce CAR-driven doxorubicin resistance."
36,neuroblastoma,265,NB1691,30,"autonomic ganglia",2,cisplatin,48,miR-204,148,22892391,"Ectopic miR-204 expression significantly increasedsensitivity to cisplatin and etoposide in vitro."
36,neuroblastoma,265,NB1691,30,"autonomic ganglia",10,etoposide,48,miR-204,148,22892391,"Ectopic miR-204 expression significantly increasedsensitivity to cisplatin and etoposide in vitro."
57,Cholangiocarcinoma,236,HuH28,24,"biliary tract",8,Gemcitabine,166,miR-29b,123,24147037,"ectopic overexpression of each of three downregulated miRNAs in HuH28 (miR-29b, miR-205, miR-221) restored Gem sensitivity to HuH28."
57,Cholangiocarcinoma,236,HuH28,24,"biliary tract",8,Gemcitabine,49,miR-205,123,24147037,"ectopic overexpression of each of three downregulated miRNAs in HuH28 (miR-29b, miR-205, miR-221) restored Gem sensitivity to HuH28."
57,Cholangiocarcinoma,236,HuH28,24,"biliary tract",8,Gemcitabine,56,miR-221,123,24147037,"ectopic overexpression of each of three downregulated miRNAs in HuH28 (miR-29b, miR-205, miR-221) restored Gem sensitivity to HuH28."
57,Cholangiocarcinoma,236,HuH28,24,"biliary tract",8,Gemcitabine,167,miR-125a-5p,124,24147037,"Suppression of one upregulated miRNA in HuH28, miR-125a-5p, inhibited HuH28 cell proliferation independently to Gem treatment."
57,Cholangiocarcinoma,945,"clinical samples",24,"biliary tract",67,fludarabine,193,miR-155-3p,115,23224401,"the expression of miR-155-3p was significantly increased after stimulation of distinct TLR in cells where fludarabine treatment was less effective."
57,Cholangiocarcinoma,945,"clinical samples",24,"biliary tract",67,fludarabine,35,miR-148a,264,20504344,"Among the identified microRNAs,miR-148a, miR-222 and miR-21 exhibited a significantly higher expression in non-responder patients either before and after fludarabine treatment."
57,Cholangiocarcinoma,945,"clinical samples",24,"biliary tract",67,fludarabine,57,miR-222,264,20504344,"Among the identified microRNAs,miR-148a, miR-222 and miR-21 exhibited a significantly higher expression in non-responder patients either before and after fludarabine treatment."
57,Cholangiocarcinoma,945,"clinical samples",24,"biliary tract",67,fludarabine,11,miR-21,264,20504344,"Among the identified microRNAs,miR-148a, miR-222 and miR-21 exhibited a significantly higher expression in non-responder patients either before and after fludarabine treatment."
57,Cholangiocarcinoma,945,"clinical samples",24,"biliary tract",67,fludarabine,18,miR-29a,265,20487546,"Differential expression of the sulfatase SULF2 and of miR-29a, -181a, and -221 was also observed between resistant and sensitive patients before treatment."
57,Cholangiocarcinoma,945,"clinical samples",24,"biliary tract",67,fludarabine,41,miR-181a,265,20487546,"Differential expression of the sulfatase SULF2 and of miR-29a, -181a, and -221 was also observed between resistant and sensitive patients before treatment."
57,Cholangiocarcinoma,945,"clinical samples",24,"biliary tract",67,fludarabine,56,miR-221,265,20487546,"Differential expression of the sulfatase SULF2 and of miR-29a, -181a, and -221 was also observed between resistant and sensitive patients before treatment."
10,"bladder cancer",7,T24,2,bladder,1,doxorubicin,11,miR-21,216,21468550,"Cell proliferation and chemoresistance to doxorubicin were promoted by overexpression of miR-21 in T24 cells."
10,"bladder cancer",312,UMUC5,2,bladder,30,cetuximab,97,miR-200a,276,19671845,"miR-200 expression regulates epithelial-to-mesenchymal transition in bladder cancer cells and reverses resistance to epidermal growth factor receptor therapy."
10,"bladder cancer",312,UMUC5,2,bladder,30,cetuximab,61,miR-200b,276,19671845,"miR-200 expression regulates epithelial-to-mesenchymal transition in bladder cancer cells and reverses resistance to epidermal growth factor receptor therapy."
10,"bladder cancer",312,UMUC5,2,bladder,30,cetuximab,91,miR-200c,276,19671845,"miR-200 expression regulates epithelial-to-mesenchymal transition in bladder cancer cells and reverses resistance to epidermal growth factor receptor therapy."
10,"bladder cancer",312,UMUC5,2,bladder,30,cetuximab,49,miR-205,276,19671845,"miR-200 expression regulates epithelial-to-mesenchymal transition in bladder cancer cells and reverses resistance to epidermal growth factor receptor therapy."
47,"chronic myelogenous leukemia",14,K562,1,blood,75,Decitabine,55,miR-217,29,24350829,"Downregulation of miR-217 correlates with resistance of Ph(+) leukemia cells to ABL tyrosine kinase inhibitors"
47,"chronic myelogenous leukemia",14,K562,1,blood,12,dasatinib,55,miR-217,29,24350829,"Downregulation of miR-217 correlates with resistance of Ph(+) leukemia cells to ABL tyrosine kinase inhibitors"
47,"chronic myelogenous leukemia",14,K562,1,blood,5,imatinib,120,miR-451,155,22842456,"Myc induced miR-144/451 contributes to the acquired imatinib resistance in chronic myelogenous leukemia cell K562"
47,"chronic myelogenous leukemia",14,K562,1,blood,5,imatinib,76,miR-144,155,22842456,"Myc induced miR-144/451 contributes to the acquired imatinib resistance in chronic myelogenous leukemia cell K562"
47,"chronic myelogenous leukemia",14,K562,1,blood,5,imatinib,19,miR-30a,157,22395361,"imatinib markedly inhibits expression of miR-30a in human CML cells"
47,"chronic myelogenous leukemia",14,K562,1,blood,5,imatinib,19,miR-30a,169,22617440,"MIR30A-mediated autophagy enhances imatinib resistance against CML including primary stem and progenitor cells"
47,"chronic myelogenous leukemia",14,K562,1,blood,71,"Arsenic trioxide",79,miR-153,176,21267675,"miR-153 was downregulated in As2O3-induced drug-resistant K562cells"
47,"chronic myelogenous leukemia",14,K562,1,blood,5,imatinib,51,miR-212,178,22241070,"miRNA downregulation and ABCG2 overexpression, possibly contributing to the mechanisms involved in imatinib distribution and response in CML therapy."
47,"chronic myelogenous leukemia",14,K562,1,blood,5,imatinib,43,miR-181b,246,20693279,"A similar Lyn-dependent regulation of miR181b and miR181d was observed in imatinib-resistant K562 CML cells."
47,"chronic myelogenous leukemia",14,K562,1,blood,5,imatinib,129,miR-181d,246,20693279,"A similar Lyn-dependent regulation of miR181b and miR181d was observed in imatinib-resistant K562 CML cells."
47,"chronic myelogenous leukemia",14,K562,1,blood,4,methotrexate,60,miR-224,196,21864507,"Underexpression of miR-224 in methotrexate resistant human colon cancer cells"
9,leukaemia,12,HL60,1,blood,18,cytarabine,175,miR-181,173,22209977,"downregulation of miR-181a and upregulation of Bcl-2 in leukaemia cells confer resistance to Ara-C-based therapy"
9,leukaemia,14,K562,1,blood,1,doxorubicin,195,miR-331-5p,208,21070600,"Down-regulated miR-331-5p and miR-27a are associated with chemotherapyresistance and relapse in leukaemia."
9,leukaemia,14,K562,1,blood,1,doxorubicin,17,miR-27a,208,21070600,"Down-regulated miR-331-5p and miR-27a are associated with chemotherapyresistance and relapse in leukaemia."
9,leukaemia,14,K562,1,blood,57,daunorubicin,11,miR-21,235,21187093,"miR-21 expression was upregulated in the DNR resistant cell line K562/DNR compared to its parental line K562."
49,"promyelocytic leukemia",12,HL60,1,blood,1,doxorubicin,176,miR-125b,212,21880154,"miR-125b expression was slightly up-regulated in four drug-resistant cell lines, including HL60/DOX, K562/DOX (subclone of K562 with doxorubicin-resistance) and NB4-R1, as well as NB4-R2"
49,"promyelocytic leukemia",12,HL60,1,blood,16,vincristine,178,miR-138-5p,256,19896708,"miR-138 was found up-regulated in the vincristine-induced multidrug resistance (MDR) leukemia cell line HL-60/VCR as compared with HL-60 cells."
47,"chronic myelogenous leukemia",14,K562,1,blood,57,daunorubicin,176,miR-125b,22,24604579,"microRNA 125b promotes leukemia cell resistance to daunorubicin by inhibiting apoptosis."
47,"chronic myelogenous leukemia",14,K562,1,blood,1,doxorubicin,108,miR-381,122,24303078,"Two miRs, miR-381 and miR-495, that were strongly down-regulated in K562/ADM cells, are validated to target the 3'-UTR of the MDR1 gene"
47,"chronic myelogenous leukemia",14,K562,1,blood,1,doxorubicin,125,miR-495,122,24303078,"Two miRs, miR-381 and miR-495, that were strongly down-regulated in K562/ADM cells, are validated to target the 3'-UTR of the MDR1 gene"
47,"chronic myelogenous leukemia",14,K562,1,blood,1,doxorubicin,176,miR-125b,212,21880154,"miR-125b expression was slightly up-regulated in four drug-resistant cell lines, including HL60/DOX, K562/DOX (subclone of K562 with doxorubicin-resistance) and NB4-R1, as well as NB4-R2"
47,"chronic myelogenous leukemia",14,K562,1,blood,57,daunorubicin,41,miR-181a,298,22285729,"miR-181a could play a role in the development of DNR resistance in K562/A02 cells and the over-expression of miR-181a could sensitize K562/A02 cells to DNR by targeting BCL-2."
25,leukemia,130,Jurkat,1,blood,57,daunorubicin,176,miR-125b,22,24604579,"microRNA 125b promotes leukemia cell resistance to daunorubicin by inhibiting apoptosis."
33,Myeloma,94,U266,1,blood,66,melphalan,4,miR-15a,210,21936961,"miRNA-15a/-16 expression in MM cellscellscells was significantly increased under melphalan and bortezomib treatment"
33,Myeloma,94,U266,1,blood,66,melphalan,6,miR-16,210,21936961,"miRNA-15a/-16 expression in MM cellscellscells was significantly increased under melphalan and bortezomib treatment"
33,Myeloma,94,U266,1,blood,20,bortezomib,4,miR-15a,210,21936961,"miRNA-15a/-16 expression in MM cellscellscells was significantly increased under melphalan and bortezomib treatment"
33,Myeloma,94,U266,1,blood,20,bortezomib,6,miR-16,210,21936961,"miRNA-15a/-16 expression in MM cellscellscells was significantly increased under melphalan and bortezomib treatment"
33,Myeloma,147,NCIH929,20,bone,66,melphalan,4,miR-15a,210,21936961,"miRNA-15a/-16 expression in MM cellscellscells was significantly increased under melphalan and bortezomib treatment"
33,Myeloma,147,NCIH929,20,bone,66,melphalan,6,miR-16,210,21936961,"miRNA-15a/-16 expression in MM cellscellscells was significantly increased under melphalan and bortezomib treatment"
33,Myeloma,147,NCIH929,20,bone,20,bortezomib,4,miR-15a,210,21936961,"miRNA-15a/-16 expression in MM cellscellscells was significantly increased under melphalan and bortezomib treatment"
33,Myeloma,147,NCIH929,20,bone,20,bortezomib,6,miR-16,210,21936961,"miRNA-15a/-16 expression in MM cellscellscells was significantly increased under melphalan and bortezomib treatment"
33,Myeloma,181,BMSCs,20,bone,37,dexamethasone,11,miR-21,209,21718132,"Myeloma cell adhesion to bone marrow stromal cells confers drug resistance by microRNA-21 up-regulation."
33,Myeloma,181,BMSCs,20,bone,1,doxorubicin,11,miR-21,209,21718132,"Myeloma cell adhesion to bone marrow stromal cells confers drug resistance by microRNA-21 up-regulation."
33,Myeloma,181,BMSCs,20,bone,20,bortezomib,11,miR-21,209,21718132,"Myeloma cell adhesion to bone marrow stromal cells confers drug resistance by microRNA-21 up-regulation."
41,osteosarcoma,67,MG63,20,bone,1,doxorubicin,12,miR-22,16,24609901,"Our study suggests a complexity in the regulation of autophagy by miR-22 and HMGB1 during chemotherapy resistance in osteosarcoma."
41,osteosarcoma,67,MG63,20,bone,2,cisplatin,12,miR-22,16,24609901,"Our study suggests a complexity in the regulation of autophagy by miR-22 and HMGB1 during chemotherapy resistance in osteosarcoma."
41,osteosarcoma,67,MG63,20,bone,2,cisplatin,56,miR-221,128,23372675,"upregulation of miR-221 induced cell survival and cisplatin resistance and reduced cell apoptosis."
41,osteosarcoma,160,"U2 OS",20,bone,1,doxorubicin,12,miR-22,16,24609901,"Our study suggests a complexity in the regulation of autophagy by miR-22 and HMGB1 during chemotherapy resistance in osteosarcoma."
41,osteosarcoma,160,"U2 OS",20,bone,2,cisplatin,12,miR-22,16,24609901,"Our study suggests a complexity in the regulation of autophagy by miR-22 and HMGB1 during chemotherapy resistance in osteosarcoma."
41,osteosarcoma,297,SOSP9607,20,bone,2,cisplatin,56,miR-221,128,23372675,"upregulation of miR-221 induced cell survival and cisplatin resistance and reduced cell apoptosis."
41,osteosarcoma,945,"clinical samples",20,bone,200,multidrug,11,miR-21,187,23321165,"High serum miR-21 was significantly correlated with advanced Enneking stage andchemotherapeutic resistance."
43,"synovial sarcoma",201,Fuji,20,bone,1,doxorubicin,7,miR-17,5,24989082,"miR-17 succeeded in suppressing doxorubicin-evoked higher expression of p21 and conferred the drug resistance"
43,"synovial sarcoma",235,HSSYII,20,bone,1,doxorubicin,7,miR-17,5,24989082,"miR-17 succeeded in suppressing doxorubicin-evoked higher expression of p21 and conferred the drug resistance"
12,"breast cancer",35,BT474,15,breast,42,trastuzumab,50,miR-210,167,22370716,"The mean expression ratio for miR-210 was significantly higher in trastuzumab-resistant BT474 cells, and miR-210 expression was significantly higher before surgery than after surgery"
12,"breast cancer",35,BT474,15,breast,1,doxorubicin,92,miR-155,263,20371610,"Ectopic expression of miR-155 induces cell survival and chemoresistance to multiple agents, whereas knockdown of miR-155 renders cells to apoptosis and enhances chemosensitivity."
12,"breast cancer",35,BT474,15,breast,39,VP16,92,miR-155,263,20371610,"Ectopic expression of miR-155 induces cell survival and chemoresistance to multiple agents, whereas knockdown of miR-155 renders cells to apoptosis and enhances chemosensitivity."
12,"breast cancer",35,BT474,15,breast,6,paclitaxel,92,miR-155,263,20371610,"Ectopic expression of miR-155 induces cell survival and chemoresistance to multiple agents, whereas knockdown of miR-155 renders cells to apoptosis and enhances chemosensitivity."
12,"breast cancer",1,MCF7,15,breast,7,docetaxel,121,miR-452,12,24648265,"MicroRNA-452 contributes to the docetaxel resistance of breast cancer cells"
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,124,miR-489,17,24786471,"MiR-489 regulates chemoresistance in breast cancer via epithelial mesenchymal transition pathway."
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,57,miR-222,52,23994196,"miR-222 and miR-29a mimics and inhibitors had partially changed the drug-resistance of breast cancer"
12,"breast cancer",1,MCF7,15,breast,7,docetaxel,57,miR-222,52,23994196,"miR-222 and miR-29a mimics and inhibitors had partially changed the drug-resistance of breast cancer"
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,210,miR-133a,55,23969999,"targeted downregulation of FTL protein by the microRNA miR-133a increases sensitivity of MCF-7/DOX and MCF-7/CDDP cells to doxorubicin and cisplatin."
12,"breast cancer",1,MCF7,15,breast,2,cisplatin,210,miR-133a,55,23969999,"targeted downregulation of FTL protein by the microRNA miR-133a increases sensitivity of MCF-7/DOX and MCF-7/CDDP cells to doxorubicin and cisplatin."
12,"breast cancer",1,MCF7,15,breast,72,mitoxantrone,123,miR-487a,60,23879965,"ectopic miR-487a down-regulated BCRP expression at the mRNA and protein levels, increasing the intracellular accumulation and cytotoxicity of MX in resistant MCF-7/MX breast cancer cell"
12,"breast cancer",1,MCF7,15,breast,1,doxorubicin,89,miR-195,79,23760062,"Breast cancer cell lines and tissue specimens (obtained from chemotherapy-sensitive or resistant patients) as well as a normal breast cell line were used to assess expression of miR-195, Raf-1, Bcl-2 and P-glycoprotein mRNA and/or mRNA"
